2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd
"1,223,400",179.38,226.88,89.69,48.12,57.65,24.9,128.02,102.04,29.53,39.01,56.13,-297.62,-38.48,-19.15,270.34,275.56,-0.13,54.84,90.67,90.91
"1,742,238",176.11,229.23,90.95,48.22,58.79,24.85,127.58,101.1,28.91,39.26,56.33,416.18,-1.73,12.96,270.61,275.82,0.67,58.08,90.67,89.61
"1,164,678",176.58,231.59,91.72,48.5,58.98,24.85,130.69,102.04,29.72,43.15,56.82,263.44,8.32,7.54,271.32,276.19,1.37,58.79,97.56,92.96
"1,722,333",176.11,225.94,91.82,48.97,59.94,25,130.25,102.51,29.38,44.26,56.23,524.17,13.34,61.7,272,276.62,2.01,59.88,90.95,93.06
"2,789,626",181.72,224.06,91.43,49.35,59.08,25.1,129.36,103.92,30.05,43.68,55.93,-123.26,11.07,-6,272.16,277.15,2.38,58.22,83.02,90.51
"1,402,618",179.85,222.64,91.92,49.06,58.32,24.85,128.91,104.39,29.77,41.66,54.44,404.51,-0.11,11.04,272.62,277.66,2.64,58.22,70.24,81.4
"1,475,318",180.78,223.11,90.37,48.5,58.6,24.7,130.25,104.39,29.53,40.7,53.74,627.56,30.17,7.22,273.89,277.92,2.82,58.22,67.06,73.44
"783,839",183.12,217.94,91.92,48.5,58.89,25.15,130.69,102.98,29.43,40.99,55.03,177.61,5.65,-5.6,275.33,278.13,2.96,58.7,50,62.43
"1,599,259",184.99,221.23,91.05,48.59,57.75,24.9,129.8,102.51,29.05,40.7,54.53,-4.72,355.18,-26.72,276.79,278.41,2.85,55.29,39.65,52.24
"1,108,086",187.79,225.94,95.99,48.78,58.13,24.9,130.25,102.51,28.76,40.84,54.83,49.27,0,7.67,278.23,278.64,2.72,55.29,35.61,41.75
"865,941",186.39,223.11,95.11,48.4,58.32,24.85,130.69,102.04,29.81,41.37,54.93,155.07,6.23,38.24,279.93,278.93,2.71,57.03,48.26,41.17
"2,348,008",185.45,224.53,93.76,48.4,59.27,25.3,130.69,103.92,30.48,40.99,53.34,710.61,82.45,86.14,281.3,279.17,3.09,62.74,62.63,48.83
"1,493,928",186.86,225,93.95,49.25,58.51,25.45,131.58,103.45,29.77,40.22,52.25,512.98,-0.16,96.94,282.55,279.43,3.43,63.68,58.55,56.48
"1,270,078",184.99,228.29,93.95,49.16,59.17,25.35,132.47,102.51,30.48,41.66,52.84,148.25,41.93,-35.49,283.44,279.63,3.39,58.13,50.06,57.08
"3,068,928",181.72,231.12,95.79,49.91,59.65,24.9,132.91,102.04,30.86,40.65,52.15,709.22,-116.81,6.59,283.68,279.73,3.32,58.13,28.98,45.86
"1,814,127",182.18,230.65,97.34,49.72,58.13,23.7,131.58,101.57,31.44,38.73,51.65,-1.76,8.04,-40,284.2,279.89,2.81,50.15,22.02,33.69
"1,814,249",180.32,239.12,97.34,49.63,57.94,23.85,132.47,101.57,31.05,39.01,51.95,656.23,88.21,-37,284.49,280.09,2.53,52.69,16.67,22.56
"1,606,933",182.71,257.48,105.58,51.32,60.99,24.3,132.47,103.92,31.53,41.71,57.12,-406.41,19.24,194.61,284.49,280.12,2.28,52.69,16.14,18.28
"3,090,795",187.97,250.42,106.54,51.8,62.89,24.2,132.91,104.39,31.67,41.04,62.79,-1002.53,-84.68,34.57,284.56,280.23,1.6,44.75,25.66,19.49
"2,419,535",183.19,248.53,108.48,51.51,69.18,24.05,133.8,106.27,33.39,43.49,62.89,-7.67,162.54,89.5,284.83,280.3,1.43,51.33,40.74,27.51
"1,051,371",182.23,249.47,110.42,51.8,66.32,24,134.69,109.1,34.15,46.38,61.3,224.24,14.85,3.26,284.99,280.49,1.43,53.71,68.06,44.82
"1,602,227",181.75,247.12,107.51,50.85,70.9,25.3,134.25,106.27,37.54,50.99,61.2,527.12,238.7,4.65,285.28,280.61,1.61,56.56,82.5,63.77
"2,192,340",183.19,243.83,104.12,50.01,69.56,24.7,133.8,107.69,41.26,49.74,60.31,675.99,119.08,50.75,285.23,280.6,2,60.26,76.94,75.83
"1,455,398",189.88,237.71,101.7,49.63,66.8,24.55,133.36,108.63,40.26,49.84,58.22,-333.2,129.41,-11.67,285.33,280.61,1.86,52.68,63.72,74.39
"1,976,935",185.1,241.94,103.64,49.63,70.32,24.4,133.36,110.04,44.27,51.67,61,309.76,34.09,24.8,285.67,280.72,1.85,54.36,61.78,67.48
"1,242,598",188.45,243.83,105.09,50.38,77.28,24.5,134.25,110.04,48.66,53.49,65.18,541.73,53.17,62.21,285.98,280.79,2.2,59.54,72.19,65.9
"770,131",187.01,249.47,104.12,50.19,74.99,24.25,134.25,109.1,49.23,51.86,64.19,241.89,3.64,20.91,286.27,280.99,2.41,58.82,83.33,72.43
"951,570",187.49,256.06,107.03,50.01,73.94,24.35,134.25,107.22,45.89,50.51,62.89,488.33,-9.71,4.21,286.58,281.14,2.54,58.82,72.92,76.15
"1,276,186",185.58,250.27,107.03,49.82,73.75,24.8,134.25,108.63,47.7,51.09,62.6,-162.51,8.34,-18.74,286.58,281.2,2.47,55.7,48.86,68.37
"1,586,934",187.97,248.33,104.61,49.91,72.52,24.6,134.69,108.63,49.13,50.03,61.4,-453.12,3.84,-45.35,286.72,281.26,1.89,46.98,38.45,53.41
"872,164",197.53,251.24,100.25,50.1,79.76,24.4,137.36,109.1,54,53.11,63.69,232.41,57.2,0.92,286.96,281.43,1.75,52.52,43.77,43.69
"4,224,145",192.27,247.36,100.25,49.82,85.19,24.15,135.58,106.75,53.52,51.47,61.6,1509.21,0.85,134.42,287.92,281.83,2.2,60.02,72.96,51.73
"5,820,461",194.19,244.94,97.83,49.35,81.38,23.95,135.58,106.75,51.52,51.57,60.51,1086.9,608.21,201.7,288.93,282.04,3.75,70.66,77.84,64.86
"5,979,621",192.75,243.97,99.76,50.48,84.62,24.45,136.47,107.69,55.62,51.09,60.61,-270.5,73.27,8.94,289.89,282.33,4.73,67.63,73.85,74.89
"2,199,356",201.36,244.45,98.31,50.57,83.28,24.3,137.8,107.69,56.38,50.51,60.51,377.33,31.63,8.06,290.56,282.57,5.37,66.41,48.49,66.73
"3,841,411",202.8,241.54,98.31,50.67,83.38,24.1,137.8,106.75,62.01,50.8,59.41,-1668.74,84.39,38.41,291.01,282.71,4.93,54.23,30.44,50.93
"1,895,485",195.62,231.84,96.86,50.1,84.05,23.9,136.92,105.33,63.06,47.24,57.62,-306.3,6.9,-69.07,291.76,282.92,4.33,51.96,20.01,32.98
"1,594,206",196.1,234.75,100.25,51.04,91,23.9,137.36,106.75,64.49,48.11,57.62,109.55,0.92,94.85,292.65,283.03,4.28,56.65,22.58,24.34
"1,830,092",196.1,237.66,98.8,50.95,88.43,23.95,137.8,105.8,60.77,51.19,58.81,103.32,1.63,-24.44,293.34,283.09,3.96,53.82,34.6,25.73
"926,013",194.66,240.09,97.83,51.42,84.84,24.05,140.47,105.33,58.86,51.38,59.41,225.87,-81.47,-0.07,293.7,283.12,3.74,54.63,27.24,28.14
"1,307,295",197.53,246.39,97.34,50.85,85.32,23.9,142.25,106.27,59.34,52.44,59.71,-741.22,-26.91,-39.64,293.59,282.98,3.14,49.9,19.35,27.06
"2,058,779",195.14,240.57,95.5,50.67,80.29,24,141.36,105.33,54.38,49.74,58.22,-1035.14,2.34,50.9,293.32,283.07,2.09,44.13,10.39,18.99
"1,801,806",187.49,242.51,94.05,50.57,78.16,24,140.92,103.92,54.38,48.01,56.53,-34.46,-110.69,26.78,293.29,283.28,1.24,44.13,14.9,14.88
"1,949,963",190.36,243.48,94.53,50.85,79.62,25.7,140.03,105.33,52.66,49.93,57.32,-534.9,-16.49,-32.45,292.96,283.43,0.52,43.71,16.32,13.87
"2,086,862",187.97,249.3,94.24,50.38,77.39,26.05,139.14,104.39,50.66,48.2,56.23,-1022.87,-23.31,-2.3,292.4,283.41,-0.4,40.03,15.84,15.69
"1,630,063",185.58,248.33,95.11,50.76,81.45,27.25,139.58,105.8,51.52,47.58,56.53,-497.08,-16.58,31.57,291.88,283.49,-1.12,40.03,19.28,17.15
"2,378,047",185.1,243.48,94.63,50.19,80.87,27.4,139.58,105.8,52.38,48.01,56.92,-771.65,-237.23,-4.74,291.31,283.82,-1.63,40.68,24.01,19.71
"1,484,929",181.75,242.51,95.71,50.1,78.74,26.7,140.47,105.8,51.8,47.67,57.02,-359.56,-108.23,14.01,290.87,284.26,-2.09,39.76,28.55,23.95
"1,015,950",177.92,243.97,97.57,49.53,83.87,27,140.92,104.86,56.96,48.78,56.72,-214.39,-73.04,2.17,290.64,284.67,-2.38,40.48,22.84,25.14
"1,500,256",180.79,240.09,96.98,49.25,85.42,27.2,140.03,104.39,60.26,50.42,56.43,-899.18,-3.99,-16.45,290.02,284.99,-2.74,38.49,21.4,24.27
"1,544,989",178.88,240.09,95.02,48.97,84.36,26.2,138.69,104.39,58.8,48.88,54.73,-549.21,-56.02,-40.12,288.87,285.26,-3.27,35.22,12.24,18.83
"1,474,328",173.14,233.78,92.57,48.88,92.77,25.9,135.14,104.86,60.26,48.78,53.64,-635.51,19.18,-71.35,287.05,285.43,-3.91,32.27,17.42,17.02
"1,264,513",168.84,231.36,92.08,48.69,84.45,25.5,134.69,103.45,54.23,46.13,53.04,-193.76,5.04,-19.03,285.18,285.55,-4.22,35.59,15.17,14.95
"1,685,142",172.19,231.36,92.77,48.59,92.87,26.3,134.22,102.98,55.69,47.41,53.44,-773.37,-3.32,-1.64,283.24,285.52,-4.68,32.58,22.06,18.22
"2,055,382",171.23,226.02,93.55,48.31,91.61,26.55,131.84,102.51,52.48,45.5,52.15,-212.35,-124.67,-17.65,282.09,285.44,-5.19,30.59,34.56,23.93
"1,701,632",171.71,223.6,90.61,48.59,100.61,24.95,132.31,102.51,50.93,42.47,50.36,216.78,-170.19,7.15,280.24,285.15,-5.14,38.66,32.22,29.61
"3,730,004",167.88,211.47,90.22,48.12,102.06,25.15,133.26,102.51,49.18,41.05,49.96,-1557.59,3.67,-58.15,278.33,284.86,-6.36,27.12,39.91,35.56
"3,639,151",173.62,213.41,92.57,48.59,112.22,25.65,132.79,101.57,52.58,43.44,52.25,-994.31,18.96,18.51,276.67,284.6,-6.86,33.42,36.28,36.14
"2,830,747",169.79,210.02,91.59,47.56,123.34,26.3,130.88,99.45,49.76,41.1,50.16,508.41,20.18,-28.28,274.67,284.19,-7.01,35.8,45.51,40.57
"2,015,400",169.79,207.59,90.32,47.56,122.37,28,131.36,98.97,52.29,42.76,49.96,-955.48,9.03,-32.67,273.25,283.93,-7.52,32.08,50.58,44.12
"1,634,796",171.23,210.5,93.06,48.59,129.63,27.85,131.84,100.9,57.44,44.72,51.55,294.84,-371.79,24.26,272.08,283.56,-7.29,39.93,54.49,50.19
"1,258,107",170.75,223.6,91.89,48.59,131.56,28.35,131.36,103.31,59.09,43.3,51.75,-310.34,-38.59,13.19,271.37,283.33,-7.18,38.56,75.81,60.29
"1,652,354",172.66,226.99,94.83,48.4,118.5,28.25,131.36,103.31,57.54,44.18,53.04,208.96,8.27,9.56,270.64,283.05,-6.27,47.73,79.05,69.78
"1,611,480",173.14,214.87,92.67,47.93,119.47,28.3,131.84,102.83,58.71,44.62,51.65,-227.01,-30.69,-8.77,270.25,282.85,-5.57,46.93,84.83,79.9
"1,452,542",171.23,210.99,93.06,48.4,121.41,29.4,131.84,103.79,58.22,43.35,51.45,167.68,-68.36,52.43,269.89,282.65,-4.76,49.21,81.18,81.69
"946,801",173.62,214.38,92.97,48.97,121.41,30.3,131.84,104.76,58.02,42.66,51.45,-140.59,-1.4,-5.46,269.06,282.3,-4.03,49.68,69.24,78.41
"3,736,856",171.71,220.69,93.85,49.16,124.31,30.55,131.84,104.76,58.41,42.71,50.95,-1444.74,-80.07,6.31,268.35,281.98,-4.12,42.19,56.19,68.87
"1,823,920",174.1,228.45,93.94,49.25,119.96,31.7,131.84,103.79,58.61,43.39,52.74,148.24,-38.08,8.03,267.44,281.63,-4.02,43.71,36.99,54.14
"1,412,638",170.27,228.45,94.04,48.97,121.41,29.75,131.36,103.79,56.47,42.56,51.25,-129.95,-104.47,-18.77,266.81,281.34,-4.17,41,41.28,44.82
"1,481,865",171.71,229.42,94.53,49.44,116.57,29.65,132.31,104.76,55.11,41.98,51.45,175.17,-42.56,18.91,266.42,281.05,-3.97,44.7,48.66,42.31
"1,469,135",175.53,224.08,94.43,49.06,118.5,28.6,131.84,103.31,54.14,40.7,50.06,581.19,-139.29,5.36,266.1,280.64,-3.65,46.25,59.66,49.87
"1,487,914",172.19,226.99,92.97,48.78,113.67,28.85,131.84,101.86,55.69,40.41,49.76,387.7,-84.57,-11.96,265.64,280.2,-3.51,44.46,59.66,55.99
"1,120,810",168.36,232.33,90.12,47.84,116.09,27.9,131.84,100.41,53.65,40.7,48.76,75.47,-91.97,-57.28,265.29,279.8,-3.44,43.55,47.45,55.59
"880,037",170.27,230.87,90.22,47.84,122.86,28.6,131.36,100.9,55.98,41.39,49.16,-62.52,-17.79,-2.24,265.05,279.39,-3.43,42.61,35.42,47.51
"1,245,125",169.32,229.9,94.14,48.03,119.96,28.5,130.41,102.83,56.37,43.15,49.86,-239.95,-163.28,-0.31,264.29,278.98,-3.41,42.12,22.6,35.16
"2,176,158",169.32,230.87,93.26,48.22,123.82,29.1,131.36,104.28,55.6,42.66,50.16,-1062.17,-97.5,-2.53,264.37,278.54,-3.79,37.08,16.35,24.79
"1,131,517",169.79,230.87,94.53,50.1,119.47,29.25,132.31,106.21,58.12,41.78,49.66,96.97,-276.15,-5.53,263.93,278.01,-4.05,37.08,8.01,15.65
"1,884,240",168.84,230.87,95.02,48.78,116.09,29.65,131.36,109.1,57.44,41.58,49.41,-455.37,72.24,-106.51,263.49,277.6,-4.63,32.56,10.83,11.73
"1,141,329",168.84,232.81,93.85,49.17,111.73,30.4,131.36,108.62,55.21,41.1,48.12,-301.34,12.48,-14.61,263.15,277.05,-4.88,35.63,8.97,9.27
"2,212,429",175.05,241.06,94.34,49.36,113.67,33.4,132.31,110.07,55.89,41.98,48.96,-397.82,-58.06,2.56,262.17,276.37,-5.33,32.45,16.72,12.17
"3,265,428",171.23,240.09,91.3,48.78,110.28,31.65,131.36,107.17,54.72,40.66,48.32,-445.5,3.61,-54.97,261.36,275.68,-6.09,28.36,20.88,15.52
"1,057,386",172.19,240.57,91.4,48.98,110.77,34.8,131.84,106.21,55.11,40.95,48.32,-13.33,3.27,-2.5,260.51,275.07,-6.49,30.71,41.31,26.3
"2,190,362",169.79,242.51,91.1,48.88,112.22,34.1,131.36,106.21,55.5,41.49,48.46,257.4,-43.94,21.07,259.61,274.51,-6.08,42.28,53.26,38.48
"1,590,116",174.58,235.72,91.79,48.88,112.7,33.75,131.84,106.69,55.3,41.14,48.76,-94.69,-51.43,-7.46,258.31,273.84,-5.84,40.56,53.79,49.45
"1,770,076",172.66,222.63,89.93,49.17,111.25,32.65,131.84,107.66,54.14,40.17,48.46,-282.04,-2.05,-0.49,256.8,273.03,-6.01,36.21,33.56,46.87
"2,030,943",166.45,215.35,87.28,48.59,106.9,32.65,131.84,118.28,52.68,38.31,47.07,-304.16,24.13,-69.42,255.89,272.28,-6.39,33.4,22.2,36.51
"1,842,595",168.36,216.81,89.14,49.17,111.73,32.7,131.84,112.97,53.07,39.14,46.32,-25.7,22.98,1.18,254.72,271.46,-6.34,37.94,16.39,24.05
"1,589,245",170.27,216.81,86.7,48.49,103.51,32,130.88,108.62,50.06,36.99,42.99,-361.34,22.32,1.92,253.33,270.55,-6.55,35,15.64,18.08
"1,839,491",170.75,238.15,85.13,48.39,103.03,32.35,130.88,107.66,50.35,35.42,40.8,-627.36,26.43,1.31,252.01,269.82,-7.25,30.01,23.98,18.67
"2,309,186",173.14,237.18,87.28,48.59,109.31,33.45,130.88,105.72,51.9,36.89,42.39,-200.41,35.28,36.15,250.6,269.01,-7.33,36.14,34.05,24.56
"1,447,801",181.75,240.09,86.3,48.44,105.44,34,130.88,110.55,52.68,36.4,42,-150.61,-30.32,-17.51,249.47,268.15,-7.35,35.8,57.02,38.35
"983,206",181.75,246.88,87.58,49.36,112.7,33.9,130.88,112.97,53.26,37.96,43.09,93.68,-19.13,47.98,248.5,267.06,-6.97,40.59,68.48,53.18
"1,048,757",177.92,247.85,86.6,49.46,114.63,33.75,131.84,115.38,53.55,38.26,43.49,90.18,2,-4.76,247.4,265.96,-6.44,42.88,73.69,66.4
"1,191,750",176.01,241.06,87.68,48.49,117.05,33.65,130.88,114.41,55.11,37.62,42.79,-171.91,2.75,-2.3,246.3,264.86,-6.22,39.98,65.63,69.27
"1,027,513",175.53,245.42,87.87,48.59,115.12,34.6,131.36,112.97,54.33,37.13,41.65,-15.28,12.11,4.07,244.93,263.77,-6.02,39.56,37.5,58.94
"2,342,473",170.75,239.12,88.17,48.44,111.73,34.55,131.36,113.45,53.17,37.08,41.35,-938,-43.3,1.38,243.78,262.8,-6.65,31.79,26.58,43.23
"2,319,678",174.1,256.09,89.05,48.98,120.92,35.8,131.36,115.86,54.91,38.16,42.24,-66.24,-16.52,2.58,243.37,261.88,-6.71,37.22,34.3,32.79
"2,890,671",172.19,250.76,87.77,48.98,118.99,35.25,131.84,115.86,54.91,38.5,46.42,-356.04,910.04,-13.08,243.32,261.16,-5.95,46.85,64,41.62
"2,890,676",177.92,251.73,89.44,49.95,120.92,34.3,131.36,116.34,59.29,39.92,51.05,-635.85,879.38,39.22,243.25,260.35,-4.54,54.39,78.33,58.88
"2,439,247",175.05,257.55,89.93,50.34,125.28,33.85,131.36,115.86,59.68,39.68,55.73,-747.21,10.27,14.18,243.39,259.61,-3.74,50.72,76.36,72.9
"1,526,079",175.05,250.27,89.34,50.53,123.34,34.7,132.31,117.31,58.61,40.17,56.03,-184.69,-12.58,-22.79,243.03,258.82,-3.18,49.52,50,68.23
"2,170,730",172.19,252.21,88.95,50.14,125.28,34.25,134.22,114.9,59.97,40.66,54.93,-617.81,-33.39,-3.78,242.17,258.02,-3.41,42.96,28.14,51.5
"1,354,834",166.92,257.06,90.03,50.14,137.37,34,136.12,122.14,65.9,41.34,60.41,-308.22,-13.58,0.1,241.51,257.25,-3.67,41.96,12.38,30.17
"1,613,179",174.1,260.94,92.77,50.53,139.3,33.4,136.12,117.31,66.09,41.88,57.82,4.89,13.2,-13.02,241.12,256.56,-3.68,43.83,15.91,18.81
"1,342,121",173.14,255.61,92.38,50.73,144.14,34.7,135.17,118.76,70.76,46.04,59.21,96.09,-41.32,4.36,241.32,256,-3.64,43.83,43.02,23.77
"2,266,625",176.49,251.73,92.38,50.73,149.94,34.7,135.64,115.38,70.85,47.46,58.81,544.64,-1.26,15.37,240.98,255.31,-2.94,51.15,46.61,35.18
"2,462,073",173.14,248.82,91.79,50.73,164.94,34.4,134.22,119.24,77.85,48.87,60.11,-369.46,-2.7,16.89,241.44,254.84,-2.95,45.21,69.27,52.96
"2,939,957",180.32,259,93.36,50.92,171.71,33.7,134.22,121.17,77.76,50.39,59.91,698.34,81.11,10.93,242.03,254.27,-1.95,54.66,58.83,58.23
"2,753,456",179.84,254.15,94.73,50.43,162.52,33.55,133.26,117.31,69.98,47.94,56.82,-771.37,383.04,32.67,242.12,253.65,-1.57,50.53,55.02,61.04
"2,310,258",180.79,258.03,94.73,50.53,169.78,33.6,132.31,116.83,68.04,46.28,55.83,-820.29,31.12,13.14,242.56,253.19,-1.64,47.05,45.04,52.96
"2,032,085",180.79,258.03,96.39,50.63,158.17,33.95,132.79,114.9,65.9,46.67,55.83,497.87,-6.84,2.58,243.22,252.93,-1.18,51.71,57.47,52.51
"2,800,741",180.79,262.88,95.61,50.73,160.59,34.2,132.31,112.97,65.7,45.65,55.93,1145.46,-8.65,38.32,243.66,252.6,-0.14,57.03,76.02,59.51
"1,772,270",180.79,258.52,93.75,51.02,152.85,34.6,132.31,111.03,65.12,45.11,55.03,-459.83,-12.72,-11.26,244.59,252.43,0.49,55.11,89.81,74.44
"1,882,515",179.84,254.15,93.94,51.31,154.78,34.5,132.31,112.97,66.48,45.01,55.23,354.84,-13.7,7.2,245.49,252.28,1.48,58.98,86.54,84.13
"1,692,742",182.23,252.21,92.38,51.5,157.68,32.75,132.31,112,64.73,45.6,60.7,223.66,-2.65,-45.85,246.64,251.95,2.16,58.15,72.65,83
"1,178,723",179.84,249.79,93.06,51.99,162.52,32.75,131.84,112.48,66.09,44.81,60.7,-596.22,-2.59,-3.57,247.67,251.94,2.2,53.29,51.44,70.21
"982,134",180.32,249.79,91.99,51.7,158.65,32.4,131.84,112.48,65.7,45.35,59.11,27.14,-8.87,14.87,248.18,251.82,2.36,54.65,28.5,50.86
"1,184,058",182.23,251.73,92.18,51.7,164.45,31.65,131.84,112.48,67.55,49.8,59.31,-287.56,-40.82,23.27,248.03,251.61,2.38,53.81,19.95,33.29
"1,716,534",181.27,252.21,91.5,51.99,161.55,33.05,131.84,112.48,66.29,52.15,57.62,-470.02,-3.07,15.84,248.37,251.59,2.06,50.46,33.75,27.4
"1,838,702",181.27,254.15,92.57,52.09,162.52,34.8,132.31,111.03,67.36,53.42,57.72,271.18,-108.78,161.83,248.72,251.43,2.21,54.64,48.86,34.19
"1,574,629",178.88,249.3,92.08,52.57,165.42,36.2,132.31,111.03,71.63,53.42,58.71,-131.04,-63.96,-0.87,249.55,251.31,2.19,53.32,70.37,50.99
"942,867",173.62,245.91,92.08,52.57,161.07,38.85,131.84,110.55,70.95,54.21,58.12,101.27,-20.77,-18.01,250.35,251.01,2.23,54.12,61.11,60.11
"601,630",176.97,250.76,92.97,53.15,156.72,38.5,131.84,113.93,68.33,59.59,58.81,-157.99,-7.77,5.81,250.86,250.66,2.07,52.2,42.59,58.02
"1,233,097",176.01,250.76,91.4,53.06,157.68,37.75,131.84,111.52,67.74,62.23,57.72,-295.04,-20.15,-0.29,251.43,250.29,1.62,48.49,22.44,42.05
"828,036",174.1,254.64,90.32,53.64,156.72,37.6,131.84,112,66.77,63.01,57.12,-51.97,5.38,8.99,251.74,249.95,1.32,49.46,23.55,29.53
"1,170,740",176.97,249.79,89.54,53.83,156.72,36.7,131.84,111.52,66.97,62.13,57.42,25.64,4.92,-12.09,252.08,249.65,1.31,52.34,21.7,22.56
"1,705,657",176.97,248.33,89.14,52.77,151.4,35.6,131.36,109.59,64.73,63.11,56.43,-420.34,6.05,11.45,251.89,249.35,0.74,45.77,27.11,24.12
"809,135",175.05,245.42,88.17,52.28,154.78,35,130.88,109.1,65.12,59.69,55.83,195.96,6.64,16.04,252.08,249.15,0.4,47.3,25.33,24.71
"2,981,403",177.45,250.76,90.32,51.41,153.33,35.6,130.88,111.03,64.93,61.15,57.42,234.5,7.94,-12.62,252.62,248.92,0.32,49.83,46.67,33.04
"755,944",176.01,247.36,90.61,52.47,154.78,35.05,131.84,110.07,64.05,67.22,57.32,10.84,-3.35,18.74,253.01,248.72,0.41,51.83,69.28,47.09
"1,547,318",173.14,242.51,89.05,51.6,144.62,34,131.36,109.1,62.69,67.91,55.83,166.58,-19.09,-9.19,252.99,248.56,0.76,55.19,79.71,65.22
"1,391,349",174.1,243,89.24,51.7,146.56,34.6,131.84,111.03,63.76,68.2,56.33,-76.1,13.08,-11.55,253.06,248.41,1.01,55.19,79.43,76.14
"1,162,360",179.84,241.06,88.66,51.02,149.94,34.15,131.84,110.55,64.05,70.65,57.42,-127.11,14.62,0.19,252.92,248.3,1.17,54.56,73.42,77.52
"962,489",177.45,245.91,89.05,51.41,145.59,34.45,132.31,111.52,63.08,67.51,56.43,93.63,-3.42,-2.35,252.72,248.17,1.43,56.69,63.65,72.16
"1,101,073",176.49,245.91,89.24,52.67,147.04,33.9,131.36,111.52,64.05,66.05,56.72,-33.41,-33.41,9.14,253.21,248.26,1.46,53.97,75.93,71
"2,037,060",173.62,247.85,88.66,51.99,148.98,32.85,132.31,112,65.61,65.46,58.81,984.81,-0.68,13.36,253.7,248.38,2.09,61.87,78.74,72.77
"2,052,194",174.1,245.42,89.05,52.57,146.07,30.45,131.84,111.52,64.34,66.05,56.82,285.09,87.8,6.63,254.18,248.58,2.72,63.55,85.06,79.91
"1,572,674",177.92,240.09,88.95,52.38,148.98,31.5,132.31,112,66.48,64.19,56.43,-76.41,22.41,1.16,254.82,248.72,3.1,62.08,71.48,78.42
"1,439,172",175.05,237.66,88.36,51.11,144.14,31.9,131.36,110.55,64.44,61.94,55.43,-41.16,275.57,-16.29,255.11,248.91,3.29,60.56,56.63,71.06
"1,152,457",175.05,234.27,88.36,50.92,148.01,31.4,131.36,110.55,64.63,64.29,55.53,-255.73,16.59,-6.95,255.41,249.17,3.28,58.26,37.15,55.09
"1,527,931",176.01,235.72,88.26,51.5,147.53,31.55,131.36,111.03,64.83,63.89,56.53,-273.71,-20.68,0.49,255.8,249.46,3.12,55.98,33.27,42.35
"1,847,498",178.88,234.75,88.46,51.99,144.62,31.9,132.31,111.03,63.57,61.74,56.53,242.37,-10.49,2.68,256.04,249.52,3.19,59.41,21.23,30.55
"872,849",177.92,238.15,88.07,52.28,149.46,32.15,132.31,111.03,64.83,61.64,56.62,-359.83,-1.65,-42.24,256.58,249.65,2.82,52.12,26.98,27.16
"629,902",179.84,240.57,89.73,52.57,156.23,31.75,131.36,112,68.91,61.64,57.02,88.05,5.9,2.06,257.04,249.86,2.66,54.52,18.52,22.25
"431,532",186.53,243.48,89.14,51.89,154.3,31.75,131.36,112.48,67.45,62.13,57.42,-83.63,-14.43,-2.12,257.58,250.21,2.46,53.79,50,31.83
"1,037,334",197.06,244.94,89.05,51.99,154.78,31.65,131.36,112.97,68.04,63.11,58.62,-4.32,-20.18,12.66,258.48,250.51,2.63,59.08,66.67,45.06
"585,437",196.1,246.39,88.95,51.99,152.36,31.6,131.36,113.45,67.36,69.37,58.62,152.02,-23.72,-7.74,259.56,250.96,2.76,59.64,89.81,68.83
"1,273,623",198.49,247.85,88.75,52.57,150.91,32.3,130.88,113.45,66.19,63.89,60.9,581.86,-3.27,39.51,260.61,251.57,3.23,64.76,87.25,81.24
"1,069,831",196.58,247.36,89.14,52.28,149.46,32.25,130.88,114.41,65.7,62.92,58.71,-146.8,-19.98,-4.46,261.58,252.11,3.72,66.59,89.9,88.99
"1,022,209",194.66,250.76,88.75,52.67,152.85,32.4,132.31,114.41,66.87,62.43,58.71,13.9,-21.64,1.1,262.24,252.61,4.09,67.05,76.01,84.38
"641,423",191.32,253.18,89.44,52.38,152.36,32.6,131.84,116.34,66.68,61.74,58.32,-24.75,-40.85,3.51,263.24,253.15,4.11,61.57,77.12,81.01
"1,683,590",190.36,255.61,88.75,52.18,150.43,32.8,131.84,114.9,66.09,59.69,59.11,175.12,10.43,13.54,265,253.91,4.62,68.12,80.43,77.85
"4,680,818",190.36,257.06,88.95,51.7,152.36,32.4,131.84,113.93,66.58,59.78,63.39,1068.61,198.1,108.41,266.34,254.62,6.13,77.12,82.9,80.15
"3,020,096",190.36,254.15,89.63,51.5,148.49,31.8,131.36,113.45,65.22,59.39,69.66,-120.56,3.78,27.6,267.81,255.34,6.75,68.14,70.77,78.04
"2,128,418",189.88,244.94,89.63,51.41,147.53,32.15,131.36,112.97,64.34,59.49,72.05,387.9,-1.75,-1.46,268.49,256.11,7.19,68.45,48.77,67.48
"2,080,438",201.84,245.91,88.17,51.6,142.69,31.5,131.36,113.45,62.88,56.95,66.68,-311.87,0,-38.49,269.1,256.82,6.83,58.78,38.78,52.77
"1,629,614",215.71,251.24,87.58,51.6,143.17,31.15,131.36,112.97,62.88,59.98,72.65,-108.86,-0.57,13.61,269.93,257.43,6.51,59.16,32.75,40.1
